Gruppenname;GruppennameLang
EB: Zimmermann;EB Zimmermann
EB: Zimmet;Direktkandidat Daniel Zimmet
FAMILIE;Familien-Partei Deutschlands
FDP;Freie Demokratische Partei
FREIE WÄHLER;FREIE WÄHLER
GRÜNE;BÜNDNIS 90/DIE GRÜNEN
Gartenpartei;Gartenpartei
Gesundheitsforschung;Partei für Gesundheitsforschung
Graue Panther;Graue Panther
III. Weg;DER DRITTE WEG
KlimalisteBW;Klimaliste Baden-Württemberg
LIEBE;Europäische Partei LIEBE
LKR;Liberal-Konservative Reformer
LfK;>> Partei für Kinder, Jugendliche und Familien << - Lobbyisten für Kinder -
MENSCHLICHE WELT;Menschliche Welt - für das Wohl und Glücklichsein aller
MLPD;Marxistisch-Leninistische Partei Deutschlands
NPD;Nationaldemokratische Partei Deutschlands
PIRATEN;Piratenpartei Deutschland
PdF;Partei des Fortschritts
SGP;Sozialistische Gleichheitspartei, Vierte Internationale
SPD;Sozialdemokratische Partei Deutschlands
SSW;Südschleswigscher Wählerverband
THP;Thüringer Heimatpartei
TNT;Transparent, Nah am Bürger, Treu den Wählern
Team Todenhöfer;Team Todenhöfer - Die Gerechtigkeitspartei
Tierschutzallianz;Allianz für Menschenrechte, Tier- und Naturschutz
Tierschutzpartei;PARTEI MENSCH UMWELT TIERSCHUTZ
UNABHÄNGIGE;UNABHÄNGIGE für bürgernahe Demokratie
V-Partei³;V-Partei³ - Partei für Veränderung, Vegetarier und Veganer
Volksabstimmung;Ab jetzt...Demokratie durch Volksabstimmung - Politik für die Menschen
Volt;Volt Deutschland
dieBasis;Basisdemokratische Partei Deutschland
du.;Die Urbane. Eine HipHop Partei
sonstige;DIE SONSTIGEN - X
ÖDP;Ökologisch-Demokratische Partei
ÖLDP;RESIST! FRIEDLICHE ÖKOLINKSLIBERALE DEMOKRATISCHE REVOLUTION. FREIHEITEN, DEMOKRATIE, WOHLSTAND, GESUNDHEIT FÜR ALLE! BULTHEEL WÄHLEN!
#TeamFranka;Unabhängig! Für Dich. Für Uns. Für Alle.;
#KLIMAfirst;Erststimme fürs Klima;
