PersonID;Year;PartyListID;Listenplatz;PreviouslyElected
798;2021;239.0;6;False
799;2021;190.0;5;False
804;2021;210.0;5;False
806;2021;291.0;20;False
807;2021;25.0;18;False
808;2021;30.0;28;False
814;2021;215.0;5;False
815;2021;5.0;65;False
819;2021;231.0;13;False
820;2021;218.0;1;False
825;2021;102.0;63;False
826;2021;255.0;3;False
828;2021;204.0;2;False
830;2021;86.0;9;False
832;2021;65.0;2;True
833;2021;321.0;3;False
835;2021;98.0;14;False
837;2021;270.0;9;False
841;2021;243.0;17;False
845;2021;127.0;43;False
851;2021;268.0;3;False
854;2021;57.0;7;False
856;2021;2.0;55;False
857;2021;84.0;13;False
858;2021;126.0;8;False
859;2021;133.0;12;False
861;2021;26.0;20;False
862;2021;306.0;2;False
863;2021;231.0;3;False
864;2021;98.0;2;False
866;2021;121.0;14;False
867;2021;160.0;4;False
868;2021;102.0;12;False
870;2021;69.0;5;True
875;2021;51.0;7;False
877;2021;143.0;2;False
878;2021;117.0;9;False
879;2021;3.0;66;False
880;2021;258.0;2;False
881;2021;33.0;17;False
882;2021;171.0;4;False
883;2021;170.0;9;False
887;2021;68.0;12;False
892;2021;296.0;1;False
894;2021;58.0;16;False
895;2021;79.0;7;False
896;2021;6.0;57;False
897;2021;56.0;7;False
898;2021;71.0;22;False
899;2021;248.0;2;False
901;2021;107.0;12;False
904;2021;18.0;35;False
905;2021;182.0;11;False
907;2021;216.0;10;False
908;2021;71.0;95;False
910;2021;124.0;13;False
911;2021;4.0;17;False
912;2021;99.0;5;False
916;2021;11.0;53;False
918;2021;223.0;6;False
920;2021;113.0;25;False
921;2021;209.0;8;False
924;2021;257.0;10;False
925;2021;3.0;38;False
930;2021;104.0;4;False
931;2021;266.0;6;False
933;2021;229.0;2;False
934;2021;127.0;39;False
935;2021;257.0;5;False
936;2021;5.0;42;False
937;2021;70.0;46;False
940;2021;38.0;12;False
941;2021;78.0;19;False
946;2021;23.0;55;False
947;2021;211.0;7;False
950;2021;96.0;3;False
951;2021;4.0;41;False
954;2021;243.0;4;False
963;2021;161.0;18;False
964;2021;256.0;10;False
966;2021;159.0;16;False
969;2021;183.0;6;False
971;2021;100.0;4;False
973;2021;71.0;16;False
