PartyID;ShortName;LongName;IsMinority
242;Gartenpartei;Gartenpartei;False
243;Gegen Kapitalismus und Krieg! Stoppt den Genozid in Gaza!;Gegen Kapitalismus und Krieg! Stoppt den Genozid in Gaza!;False
244;Graue Panther;Graue Panther;False
245;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;False
246;Ideenschmiede Rheinhessen;Ideenschmiede Rheinhessen;False
247;III. Weg;DER DRITTE WEG;False
248;Initiative Gegenwind;Initiative Gegenwind;False
249;Integrität und Gerechtigkeit für ein starkes Deutschland;Integrität und Gerechtigkeit für ein starkes Deutschland;False
250;Jens Kersten;Jens Kersten;False
251;Julia Bachmann;Julia Bachmann;False
252;Jürgen Reitz Unabhängige Wählergemeinschaft Marburg-Biedenkopf;Jürgen Reitz Unabhängige Wählergemeinschaft Marburg-Biedenkopf;False
253;Klasse Gegen Klasse / Revolutionäre Internationalistische Organisation;Klasse Gegen Klasse / Revolutionäre Internationalistische Organisation;False
254;KlimalisteBW;Klimaliste Baden-Württemberg;False
255;LfK;>> Partei für Kinder, Jugendliche und Familien << - Lobbyisten für Kinder -;False
256;LIEBE;Europäische Partei LIEBE;False
257;LKR;Liberal-Konservative Reformer;False
258;Marburger Pogo-Anarchisten;Marburger Pogo-Anarchisten;False
259;MENSCHLICHE WELT;Menschliche Welt - für das Wohl und Glücklichsein aller;False
260;MERA25;MERA25 - Gemeinsam für Europäische Unabhängigkeit;False
261;MLPD;Marxistisch-Leninistische Partei Deutschlands;False
262;NPD;Nationaldemokratische Partei Deutschlands;False
263;OpaBraveheart;OpaBraveheart;False
264;parteilos;parteilos;False
265;parteilos1968;parteilos1968;False
266;PdF;Partei des Fortschritts;False
267;PdH;Partei der Humanisten - Fakten, Freiheit, Fortschritt;False
268;PIRATEN;Piratenpartei Deutschland;False
269;RobbySchubert;RobbySchubert;False
270;Robert Farle;Robert Farle;False
271;SGP;Sozialistische Gleichheitspartei, Vierte Internationale;False
272;sonstige;DIE SONSTIGEN - X;False
273;SPD;Sozialdemokratische Partei Deutschlands;False
274;SSW;Südschleswigscher Wählerverband;True
275;Stimme für Thüringen;Stimme für Thüringen;False
276;Stimme für VOLKSENTSCHEIDE;Stimme für VOLKSENTSCHEIDE;False
277;STÖBER;STÖBER;False
278;Team Orange;Team Orange;False
279;THP;Thüringer Heimatpartei;False
280;Tierschutzallianz;Allianz für Menschenrechte, Tier- und Naturschutz;False
281;Tierschutzpartei;PARTEI MENSCH UMWELT TIERSCHUTZ;False
282;Tim Knauer;Tim Knauer;False
283;TNT;Transparent, Nah am Bürger, Treu den Wählern;False
284;Tradition und Zukunft;Tradition und Zukunft;False
285;Ulf Michalsky;Ulf Michalsky;False
286;UNABHÄNGIGE;UNABHÄNGIGE für bürgernahe Demokratie;False
287;V-Partei³;V-Partei³ - Partei für Veränderung, Vegetarier und Veganer;False
288;Verantwortung für Frieden - Gesundheit - Gerechtigkeit +++ liegt in unserer Hand! Danke für Ihr Vertrauen!;Verantwortung für Frieden - Gesundheit - Gerechtigkeit +++ liegt in unserer Hand! Danke für Ihr Vertrauen!;False
289;Vereinigte Direktkandidaten;Vereinigte Direktkandidaten;False
290;Verjüngungsforschung;Partei für Verjüngungsforschung;False
