BridgeID;Year;ConstituencyID;EligibleVoters;TotalVoters;Percent;PrevVotes;PrevPercent;DiffPercentPts;InvalidFirst;InvalidSecond;ValidFirst;ValidSecond
71;2021;469;214563.0;139289.0;64.91753004944934;224401.0;65.929296;-1.011766;2093.0;1843.0;137196.0;137446.0
72;2021;471;209765.0;148576.0;70.82973804018783;214668.0;71.024559;-0.194821;1505.0;1352.0;147071.0;147224.0
73;2021;473;184352.0;125866.0;68.27482207950008;191636.0;68.473043;-0.198221;1573.0;1287.0;124293.0;124579.0
74;2021;475;198676.0;133064.0;66.97537699571161;207103.0;67.70689;-0.731513;1727.0;1483.0;131337.0;131581.0
75;2021;14;207483.0;152506.0;73.50288939334789;206706.0;73.24993;0.25296;2296.0;2087.0;150210.0;150419.0
76;2021;16;235647.0;184636.0;78.35279040259371;237071.0;79.511623;-1.158833;2530.0;2252.0;182106.0;182384.0
77;2021;18;176585.0;128577.0;72.81309284480561;182398.0;75.242053;-2.42896;2951.0;2678.0;125626.0;125899.0
78;2021;20;180251.0;126551.0;70.20820966319188;184608.0;72.049424;-1.841214;3394.0;3022.0;123157.0;123529.0
79;2021;22;217814.0;177241.0;81.37263904064936;221210.0;81.696126;-0.323487;2421.0;2372.0;174820.0;174869.0
80;2021;24;196800.0;155726.0;79.1290650406504;198672.0;79.54518;-0.416115;1920.0;1943.0;153806.0;153783.0
81;2021;26;231500.0;178035.0;76.9049676025918;235250.0;77.007014;-0.102046;2786.0;2898.0;175249.0;175137.0
82;2021;28;197037.0;139712.0;70.90647949369915;202618.0;70.849085;0.057394;3167.0;2701.0;136545.0;137011.0
83;2021;30;220014.0;172469.0;78.39001154471988;223427.0;77.559561;0.830451;2102.0;1828.0;170367.0;170641.0
84;2021;32;207127.0;158748.0;76.64283265822418;205106.0;76.599904;0.042928;2509.0;2818.0;156239.0;155930.0
85;2021;34;197988.0;137133.0;69.26328868416267;200704.0;69.252232;0.011057;2783.0;3017.0;134350.0;134116.0
86;2021;36;200673.0;145569.0;72.54040154878832;205300.0;72.63322;-0.092818;2772.0;2706.0;142797.0;142863.0
87;2021;257;176306.0;140020.0;79.41873787619252;179273.0;78.44126;0.977478;1107.0;727.0;138913.0;139293.0
88;2021;259;226420.0;170670.0;75.37761681830227;228248.0;75.860029;-0.482413;1883.0;1583.0;168787.0;169087.0
89;2021;261;192346.0;145368.0;75.57630520000416;190051.0;74.890424;0.685881;1649.0;1397.0;143719.0;143971.0
90;2021;263;199656.0;153645.0;76.95486236326482;199675.0;75.920871;1.033991;1707.0;1516.0;151938.0;152129.0
91;2021;265;249035.0;194862.0;78.24683277450961;248982.0;76.915199;1.331634;1909.0;1461.0;192953.0;193401.0
92;2021;267;249198.0;192814.0;77.3738151991589;246753.0;76.106876;1.266939;2031.0;1540.0;190783.0;191274.0
93;2021;269;190630.0;140901.0;73.9133399779678;192574.0;72.552889;1.360451;1097.0;821.0;139804.0;140080.0
94;2021;271;242483.0;204955.0;84.52345112853273;240985.0;82.154076;2.369375;972.0;622.0;203983.0;204333.0
