PersonID;Year;ConstituencyID;Erststimmen;PreviouslyElected;PartyID
922;2021;343;10211.0;False;4
923;2021;122;;False;62
926;2021;45;22792.0;False;235
927;2021;84;1861.0;False;11
928;2021;389;9753.0;False;4
929;2021;148;32844.0;True;273
932;2021;299;12932.0;True;235
938;2021;104;57179.0;True;22
939;2021;232;3542.0;False;29
942;2021;387;686.0;False;300
943;2021;24;6539.0;False;4
944;2021;216;117.0;False;261
945;2021;3;15501.0;True;29
948;2021;68;49631.0;True;21
949;2021;299;4153.0;False;29
952;2021;164;;False;63
953;2021;162;1776.0;False;300
955;2021;261;10691.0;False;235
956;2021;44;929.0;False;300
957;2021;36;19485.0;False;245
958;2021;62;23345.0;False;245
959;2021;43;460.0;False;26
960;2021;365;11863.0;False;4
961;2021;293;99.0;False;261
962;2021;124;491.0;False;11
965;2021;92;1804.0;False;30
967;2021;245;2016.0;False;31
968;2021;30;392.0;False;34
970;2021;458;6105.0;False;236
972;2021;460;667.0;False;257
974;2021;419;20740.0;False;245
977;2021;454;2213.0;False;31
979;2021;39;320.0;False;26
981;2021;279;167.0;False;257
985;2021;126;7754.0;False;236
986;2021;36;17356.0;False;4
989;2021;434;20667.0;True;4
991;2021;122;6633.0;False;245
992;2021;82;13085.0;False;236
993;2021;212;59229.0;False;273
996;2021;273;43600.0;True;245
997;2021;1;2180.0;False;30
999;2021;220;2131.0;False;236
1002;2021;58;2555.0;False;31
1003;2021;341;;False;64
1004;2021;325;128.0;False;261
1007;2021;220;356.0;False;261
1008;2021;62;3601.0;False;281
1009;2021;158;82423.0;True;22
1010;2021;120;1846.0;False;31
1012;2021;273;113.0;False;261
1013;2021;438;22771.0;False;273
1020;2021;20;205.0;False;17
1021;2021;92;;False;65
1023;2021;181;48514.0;False;273
1024;2021;289;2233.0;False;31
1025;2021;317;32277.0;True;21
1027;2021;199;26922.0;False;245
1028;2021;228;17278.0;True;235
1030;2021;448;497.0;False;1
1033;2021;70;2002.0;False;30
1035;2021;446;227.0;False;261
1036;2021;54;2276.0;False;31
1038;2021;349;45138.0;False;21
1039;2021;47;25825.0;True;245
1040;2021;58;3963.0;False;281
1041;2021;361;47993.0;False;273
1043;2021;1;;False;66
1044;2021;80;23223.0;False;236
1046;2021;80;24058.0;False;245
1050;2021;144;71478.0;False;22
