Year;Nachname;Vornamen;Geburtsjahr;Geburtsort;Geschlecht;PersonID
2021;Badum;Lisa Hildegard;1983;Forchheim;w;201
2021;Badura;Michael;1962;Dortmund;m;202
2021;Baecker;Orson Lance;2001;Berlin;m;203
2021;Baehrens;Heike Charlotte;1955;Bevern;w;204
2021;Baerbock;Annalena Charlotte Alma;1980;Hannover;w;205
2021;Bahl;Sascha;1976;Bad Oeynhausen;m;206
2021;Bahr;Christian Holger;1971;Uelzen;m;207
2021;Bahr;Ulrike Renate Martina;1964;Nördlingen;w;208
2021;Bahr-van Gemmert;Janine;1967;Lüdenscheid;w;209
2021;Baldes;Franziska;1969;Tübingen;w;210
2021;Baldowski;Peter;1979;Danzig, Polen;m;211
2021;Baldy;Daniel;1994;Bingen am Rhein;m;212
2021;Balint;Peter Michael;1950;Münster;m;213
2021;Balke;Ralf Peter;1963;Bremen;m;214
2021;Balog-Broschinski;Cornelia;1964;Marl;w;215
2021;Balthasar-Schäfer;Stephanie;1968;Cochem;w;216
2021;Baltrusch;Michaela Laura;1959;Hamburg;w;217
2021;Balzer;Siegfried Gert;1951;Radebeul;m;218
2021;Banaszak;Felix;1989;Duisburg;m;219
2021;Bandt;Mare;2003;Wolgast;w;220
2021;Bandte;Pius;1998;Lindau (Bodensee);m;221
2021;Bangert;Christian Jürg;1972;Köln;m;222
2021;Bank;Frank Werner;1972;Birkesdorf;m;223
2021;Bank;Tobias;1985;Berlin;m;224
2021;Banse;Inger;1990;Lüneburg;w;225
2021;Baradari;Nezahat;1965;Bogazköy, Türkei;w;226
2021;Barckhan;Lea;2002;Münster;w;227
2021;Bareiß;Thomas;1975;Albstadt;m;228
2021;Barimis;Michel;1987;Fürth/Bay.;m;229
2021;Barrientos Krauss;Simone Anita;1963;Eisleben;w;230
2021;Barsch;Johannes;1994;Berlin;m;231
2021;Barsuhn;Alexandra;1994;Moers;w;232
2021;Barsuhn;Detlef;1953;Rheinhausen (jetzt Duisburg);m;233
2021;Barta;Anna Carolin;2003;Pforzheim;w;234
2021;Barta;Attila;1968;Tirgu-Mures;m;235
2021;Bartels;Alrich;1966;Berumerfehn;m;236
2021;Bartels;Erich;1952;Halle (Saale);m;237
2021;Bartels;Jonas;1995;Bielefeld;m;238
2021;Bartels;Torsten;1967;Prenzlau;m;239
2021;Bartelt;Christian;1976;Neubrandenburg;m;240
2021;Barth;Birgit Monika;1972;Auerbach i.d.OPf.;w;241
2021;Barth;Daniel;1990;Greiz;m;242
2021;Barth;Thomas;1956;Stuttgart;m;243
2021;Bartholomé;Anna Monika;1949;Daun/Eifel;w;244
2021;Bartilla;Nico;1977;Altdöbern;m;245
2021;Bartke;Matthias;1959;Bremen;m;246
2021;Bartmann;Ralf;1962;Witten;m;247
2021;Bartol;Sören;1974;Hamburg;m;248
2021;Bartos;Kai;1975;Stade;m;249
2021;Bartsch;Dietmar Gerhard;1958;Stralsund;m;250
2021;Bartsch;Falko;1989;Bochum;m;251
2021;Bartz;Alexander;1984;Vechta;m;252
2021;Bartz;Robin;1992;Kamp-Lintfort;m;253
2021;Barutta;Bernhard Heinrich;1961;Essen;m;254
2021;Barz;Pascal;1998;Ruthweiler;m;255
2021;Barz;Sascha;1988;Berlin;m;256
2021;Bas;Bärbel;1968;Walsum (jetzt Duisburg);w;257
2021;Bashir;Ahsan Kurt;1982;Wipperfürth;m;258
2021;Basler;Uwe;1961;Bad Wimpfen;m;259
2021;Bastian;Eva Marianne;1959;Quierschied;w;260
2021;Bauer;Anna;1989;Landshut;w;261
2021;Bauer;Detlef;1960;Borsdorf;m;262
2021;Bauer;Emil Karl Eckehard;1953;Heidenheim;m;263
2021;Bauer;Hans;1941;Ufhoven;m;264
2021;Bauer;Helmut Richard Andreas;1959;Tröbes;m;265
2021;Bauer;Hubert;1960;Eßlingen am Neckar;m;266
2021;Bauer;Ingrid;1966;Sindelfingen;w;267
2021;Bauer;Nicole Anna Elisabeth;1987;Vilsbiburg;w;268
2021;Bauer;Pia Maria;1980;Saarlouis;w;269
2021;Bauer;Susanne Iris;1977;Eschenbach i.d.OPf.;w;270
2021;Bauer;Tobias;1982;Zwenkau;m;271
2021;Bauerle;Doris;1960;Bechterdissen;w;272
2021;Bauernfeind;Franca Helene;1998;Nürnberg;w;273
2021;Baum;Christina;1956;Kleingrabe;w;274
2021;Baum;Natalie;1983;Bad Neuenahr;w;275
2021;Baumann;Bernd;1958;Wanne-Eickel;m;276
2021;Baumann;Clara Luisa;1989;Langenhagen;w;277
2021;Baumann;Jörg Anton;1981;Aschaffenburg;m;278
2021;Baumann-Duderstaedt;Carsten;1959;Herzberg am Harz;m;279
2021;Baumanns;Lara;1999;Mönchengladbach;w;280
2021;Baumeister;Mark;1975;Oberhausen;m;281
2021;Baumert;Alwin;1965;Eggenfelden;m;282
2021;Baumgart;Frank Walter Wilhelm;1967;Hünfeld;m;283
2021;Baumgarten;Louisa-Bärbel;1984;Hildesheim;w;284
2021;Baumgartner;Ludwig;1978;Prien a.Chiemsee;m;285
2021;Baumgartner;Roman Albert;1982;Breisach am Rhein;m;286
2021;Baumgärtner;Ingrid;1997;Wittenberg;w;287
2021;Baums;Carsten;1968;Wuppertal;m;288
2021;Baur;Konrad Michael;1988;Moosburg a.d.Isar;m;289
2021;Baur;Mathias Eduard Josef;1990;Viechtach;m;290
2021;Baureis;Ralf;1962;St. Wendel;m;291
2021;Bausch;Ulrich Matthias;1959;Bönnigheim;m;292
2021;Bause;Margarete Herta Maria;1959;Wertheim;w;293
2021;Bausemer;Arno;1982;Havelberg;m;294
2021;Baydar;Sami;1991;Augsburg;m;295
2021;Bayer;Daniel Rene;1996;Fürth;m;296
2021;Bayer;Martin;1966;Rockenhausen;m;297
2021;Bayer;Roland Peter;1977;Eschenbach i.d.OPf.;m;298
2021;Bayram;Canan;1966;Malatya;w;299
2021;Baßler;Ralf Hubert;1961;Bühlertal;m;300
2021;Bechberger;Harald;1952;Oberhausen;m;301
2021;Bechtel;Reiner;1964;Roxheim;m;302
2021;Beck;Armin;1968;Schweinfurt;m;303
2021;Beck;Benjamin;1979;Bamberg;m;304
2021;Beck;Christel;1948;Eislingen/Fils;w;305
2021;Beck;Christian;1981;Kiel;m;306
2021;Beck;Constanze Maria;1970;Peißenberg;w;307
2021;Beck;Johann Felix;1964;Tübingen;m;308
2021;Beck;Katharina Barbara Maria;1982;Düsseldorf;w;309
2021;Beck;Sabine;1963;Wiesbaden;w;310
2021;Beckamp;Roger Friedrich Nikolaus;1975;Köln;m;311
2021;Becker;Almut;1970;Hannover;w;312
2021;Becker;Carsten Roland;1990;Saarlouis;m;313
2021;Becker;Christian Winfried;1967;Reschitz;m;314
2021;Becker;Holger;1964;Kusel;m;315
2021;Becker;Klaus-Christian Norbert;1942;Hamburg;m;316
2021;Becker;Lukas;1997;Alsfeld;m;317
2021;Becker;Michael Peter;1968;Sonthofen;m;318
2021;Becker;Simon Michael;1987;Saarburg;m;319
2021;Becker;Ulrich Friedrich;1981;Langen;m;320
2021;Becker;Werner Klaus;1943;Soltau;m;321
2021;Becker;Winfried;1966;Erlenbach a.Main;m;322
2021;Beckmann;Bert;1958;Parchim;m;323
2021;Beckmann;Carina;1992;Rheine;w;324
2021;Beckmann;Sina Maria;1981;Brake/Unterweser;w;325
2021;Beckmann;Steffen;1978;Schwerin;m;326
2021;Beckord;Heike;1963;Bad Pyrmont;w;327
2021;Bedarff;Hildegard;1961;Göttingen;w;328
2021;Bedürftig;Christoph;1981;Braunschweig;m;329
2021;Beeck;Jens;1969;Münster/Westfalen;m;330
2021;Beek;Olaf Karl Wilhelm;1967;Bochum;m;331
2021;Beer;Andreas;1984;Eisenhüttenstadt;m;332
2021;Beermann;Maik;1981;Nienburg (Weser);m;333
2021;Beese;Karin;1981;Meißen;w;334
2021;Behling;Kay Ingo;1966;Pritzwalk;m;335
2021;Behr;Franz-Josef;1957;Bamberg;m;336
2021;Behrendt;Volker;1967;Hamburg;m;337
2021;Behringer;Martin Werner;1971;Deggendorf;m;338
2021;Behschad;Maik Fariborz;1969;Kassel;m;339
2021;Bei der Wieden;Claudia;1965;Braunschweig;w;340
2021;Beichmann;Marc;1981;Bielefeld;m;341
2021;Beier;Klaus;1966;Hof/Saale;m;342
2021;Beikert;Günther Jakob;1968;Viernheim;m;343
2021;Beil;Volker Eberhard;1969;Sigmaringen;m;344
2021;Beilstein;Frank;1977;Seeheim;m;345
2021;Beinhorn;Ursula;1949;Bremen;w;346
2021;Beitz;Luca Alexandra;1997;Wiesbaden;w;347
2021;Belka;Günter Manfred;1959;Gelsenkirchen;m;348
2021;Bell;Thomas;1966;Rheinbach;m;349
2021;Bella;Istvan Jozsef;1945;Kisvarda, Ungarn;m;350
2021;Bellmann;Veronika Maria;1960;Karl-Marx-Stadt (jetzt Chemnitz);w;351
2021;Beltz;Erika Hannelore;1944;Alsfeld;w;352
