Year;ShortName;LongName;PartyID
2021;EB: Stein;Internationalistisches Bündnis;206
2021;EB: Teßmann;Teßmann;207
2021;EB: Tolzin;Nie wieder sinnlose Lockdowns!;208
2021;EB: Trojanowski;Unsere Zukunftsperspektive für Digitalisierung, Bildung und Umwelt;209
2021;EB: Tropp;Wir! Gemeinsam stark;210
2021;EB: Vogler;Südpfalz - stellt Fragen!;211
2021;EB: Vollmer;Klimaliste;212
2021;EB: Voß;Direkt - bürgerschaftlich - unabhängig;213
2021;EB: Wassenaar;UN-Menschenrecht auf Frieden;214
2021;EB: Weich;Weich - parteilos;215
2021;EB: Weidemann;Internationalistisches Bündnis;216
2021;EB: Wendt;FriGGa Wendt, Grundeinkommen-für-alle.org;217
2021;EB: Wetklo;Bürgerstimme;218
2021;EB: Wieczorek;Einzelbewerber Wieczorek;219
2021;EB: Wiesenthal;Klimaschutz;220
2021;EB: Wittner;Klimaliste;221
2021;EB: Wolter;DEMOKRATIE FAIR UND DIREKT;222
2021;EB: Zajonc;Internationalistisches Bündnis;223
2021;EB: Zebian;Zebian, Ayman;224
2021;EB: Zimmermann;EB Zimmermann;225
2021;EB: Zimmet;Direktkandidat Daniel Zimmet;226
2025;Einzelbewerber Bellgardt;Einzelbewerber Bellgardt;227
2025;Einzelbewerber Gliese;Einzelbewerber Gliese;228
2025;Einzelbewerber Matthias Sanftleben;Einzelbewerber Matthias Sanftleben;229
2025;Einzelwahlvorschlag Krüger;Einzelwahlvorschlag Krüger;230
2025;EMRE;EMRE;231
2025;Erststimme gegen Korruption;Erststimme gegen Korruption;232
2025;"Es darf kein ""Weiter so"" geben!";"Es darf kein ""Weiter so"" geben!";233
2021;FAMILIE;Familien-Partei Deutschlands;234
2021;FDP;Freie Demokratische Partei;235
2025;FDP;Freie Demokratische Partei;235
2021;FREIE WÄHLER;FREIE WÄHLER;236
2025;FREIE WÄHLER;FREIE WÄHLER;236
2025;FRiDi - unabhängig - unbestechlich - ehrlich - bürgernah;FRiDi - unabhängig - unbestechlich - ehrlich - bürgernah;237
