BridgeID;Year;ConstituencyID;PartyID;VoteType;Votes
9;2021;422;33;2;28.0
9;2021;422;34;1;
9;2021;422;34;2;65.0
9;2021;422;257;1;
9;2021;422;257;2;29.0
9;2021;422;267;1;
9;2021;422;267;2;88.0
9;2021;422;281;1;
9;2021;422;281;2;1729.0
9;2021;422;274;1;
9;2021;422;274;2;2241.0
9;2021;422;27;1;
9;2021;422;27;2;182.0
9;2021;422;295;1;
9;2021;422;295;2;289.0
9;2021;422;287;1;
9;2021;422;287;2;111.0
9;2021;422;234;1;
9;2021;422;234;2;
10;2021;423;21;1;51872.0
10;2021;423;21;2;45364.0
10;2021;423;273;1;60593.0
10;2021;423;273;2;56422.0
10;2021;423;235;1;20550.0
10;2021;423;235;2;27725.0
10;2021;423;245;1;33949.0
10;2021;423;245;2;32475.0
10;2021;423;4;1;14053.0
10;2021;423;4;2;14682.0
10;2021;423;29;1;5168.0
10;2021;423;29;2;6325.0
10;2021;423;30;1;2956.0
10;2021;423;30;2;1791.0
10;2021;423;236;1;3517.0
10;2021;423;236;2;2204.0
10;2021;423;262;1;
10;2021;423;262;2;261.0
10;2021;423;300;1;
10;2021;423;300;2;217.0
10;2021;423;261;1;
10;2021;423;261;2;29.0
10;2021;423;31;1;2544.0
10;2021;423;31;2;2237.0
10;2021;423;33;1;125.0
10;2021;423;33;2;82.0
10;2021;423;34;1;
10;2021;423;34;2;105.0
10;2021;423;257;1;
10;2021;423;257;2;48.0
10;2021;423;267;1;
10;2021;423;267;2;160.0
10;2021;423;281;1;
10;2021;423;281;2;2283.0
10;2021;423;274;1;
10;2021;423;274;2;1746.0
10;2021;423;27;1;
10;2021;423;27;2;829.0
10;2021;423;295;1;
10;2021;423;295;2;447.0
10;2021;423;287;1;
10;2021;423;287;2;155.0
11;2021;424;21;1;28266.0
11;2021;424;21;2;23628.0
11;2021;424;273;1;44315.0
11;2021;424;273;2;39704.0
11;2021;424;235;1;9700.0
11;2021;424;235;2;13626.0
11;2021;424;245;1;27809.0
11;2021;424;245;2;29229.0
11;2021;424;4;1;8538.0
11;2021;424;4;2;8827.0
11;2021;424;29;1;4020.0
11;2021;424;29;2;5785.0
11;2021;424;30;1;2193.0
11;2021;424;30;2;1329.0
11;2021;424;236;1;1788.0
11;2021;424;236;2;1296.0
11;2021;424;262;1;
11;2021;424;262;2;166.0
11;2021;424;300;1;
11;2021;424;300;2;134.0
11;2021;424;261;1;189.0
11;2021;424;261;2;71.0
11;2021;424;31;1;1594.0
11;2021;424;31;2;1531.0
11;2021;424;33;1;91.0
11;2021;424;33;2;46.0
11;2021;424;34;1;298.0
11;2021;424;34;2;106.0
11;2021;424;257;1;89.0
11;2021;424;257;2;67.0
11;2021;424;267;1;
11;2021;424;267;2;196.0
11;2021;424;281;1;
11;2021;424;281;2;1495.0
11;2021;424;274;1;
11;2021;424;274;2;1666.0
11;2021;424;27;1;
11;2021;424;27;2;663.0
11;2021;424;295;1;765.0
11;2021;424;295;2;550.0
11;2021;424;287;1;
11;2021;424;287;2;122.0
12;2021;218;21;1;31754.0
