PartyListID;Year;StateID;PartyID;VoteCount
85;2021;11;236;200921.0
86;2021;7;235;199205.0
87;2021;10;236;162772.0
88;2021;11;29;160266.0
89;2021;16;245;151405.0
90;2021;4;300;147502.0
91;2021;10;281;147263.0
92;2021;15;245;143027.0
93;2021;8;235;141883.0
94;2021;7;29;140085.0
95;2021;6;236;137587.0
96;2021;8;245;134620.0
97;2021;5;245;128917.0
98;2021;3;30;126712.0
99;2021;5;21;124491.0
100;2021;14;236;123245.0
101;2021;12;29;119761.0
102;2021;4;30;114311.0
103;2021;13;4;113865.0
104;2021;13;235;112738.0
105;2021;4;281;101340.0
106;2021;7;4;100365.0
107;2021;9;31;98954.0
108;2021;3;281;96524.0
109;2021;2;281;94749.0
110;2021;6;31;90842.0
111;2021;12;274;90605.0
112;2021;1;236;87538.0
113;2021;9;236;84680.0
114;2021;14;31;83683.0
115;2021;9;281;83391.0
116;2021;13;29;71341.0
117;2021;4;11;69538.0
118;2021;14;30;69443.0
119;2021;2;30;66892.0
120;2021;10;27;65137.0
121;2021;11;31;60510.0
122;2021;10;295;60177.0
123;2021;16;236;58341.0
124;2021;9;30;56739.0
125;2021;15;236;54661.0
126;2021;5;235;52879.0
127;2021;6;30;52338.0
128;2021;5;29;51275.0
129;2021;12;31;50531.0
130;2021;1;31;49828.0
131;2021;6;281;49047.0
132;2021;14;281;47939.0
133;2021;1;30;46628.0
134;2021;1;281;46558.0
135;2021;11;281;45246.0
136;2021;5;4;44140.0
137;2021;12;236;43561.0
138;2021;10;268;43418.0
139;2021;11;30;42408.0
140;2021;15;31;41767.0
141;2021;16;31;40121.0
142;2021;16;30;38895.0
143;2021;12;30;35960.0
144;2021;4;295;35462.0
145;2021;4;268;35015.0
146;2021;8;281;34906.0
147;2021;3;300;34678.0
148;2021;8;31;32355.0
149;2021;3;295;31766.0
150;2021;2;236;31233.0
151;2021;7;31;31220.0
152;2021;8;236;31125.0
153;2021;13;245;31091.0
154;2021;4;27;27725.0
155;2021;6;295;26993.0
156;2021;9;268;26792.0
157;2021;3;27;26780.0
158;2021;13;236;26682.0
159;2021;3;268;24968.0
160;2021;13;30;23818.0
161;2021;2;27;22772.0
162;2021;6;27;21897.0
163;2021;2;28;21811.0
164;2021;11;295;21530.0
165;2021;15;280;21043.0
166;2021;12;281;20653.0
167;2021;2;31;19601.0
168;2021;16;281;18973.0
169;2021;6;268;18069.0
170;2021;13;31;17098.0
171;2021;7;30;16732.0
172;2021;1;286;16452.0
173;2021;15;281;16452.0
174;2021;14;300;16280.0
175;2021;13;281;16231.0
176;2021;14;268;16061.0
177;2021;4;286;15575.0
178;2021;4;287;15009.0
179;2021;2;295;14434.0
180;2021;15;30;14179.0
181;2021;10;256;13840.0
182;2021;11;300;13723.0
183;2021;9;27;13565.0
184;2021;14;290;13418.0
185;2021;3;15;13077.0
186;2021;7;236;12344.0
187;2021;7;281;12325.0
188;2021;1;268;12188.0
189;2021;9;295;11897.0
190;2021;2;268;11738.0
191;2021;10;290;11673.0
192;2021;8;30;11592.0
193;2021;10;15;11533.0
194;2021;3;267;11477.0
195;2021;11;268;10648.0
196;2021;7;295;9905.0
197;2021;15;242;9706.0
198;2021;14;15;9675.0
199;2021;10;300;9446.0
200;2021;5;30;9373.0
201;2021;10;261;9370.0
202;2021;10;255;9189.0
203;2021;3;19;9047.0
204;2021;10;262;8956.0
205;2021;7;27;8952.0
206;2021;11;27;8578.0
207;2021;4;290;8524.0
208;2021;10;267;8173.0
209;2021;4;267;8123.0
210;2021;8;268;8071.0
211;2021;3;26;7997.0
212;2021;7;268;7796.0
213;2021;16;268;7604.0
214;2021;14;262;7469.0
215;2021;5;31;7468.0
216;2021;1;300;7334.0
