PersonID;Year;ConstituencyID;Erststimmen
170;2021;134;73312.0
171;2021;171;32765.0
172;2021;283;2455.0
174;2021;118;69842.0
175;2021;51;562.0
176;2021;283;31626.0
180;2021;201;186.0
181;2021;26;305.0
184;2021;349;18090.0
186;2021;173;7135.0
189;2021;39;30211.0
190;2021;450;48725.0
192;2021;295;1802.0
193;2021;124;9821.0
198;2021;167;119.0
199;2021;241;1265.0
200;2021;215;174.0
201;2021;124;22728.0
202;2021;367;3097.0
203;2021;6;3367.0
204;2021;42;31824.0
205;2021;6;35452.0
206;2021;211;4149.0
207;2021;236;2850.0
208;2021;156;27453.0
212;2021;401;49878.0
213;2021;341;1582.0
215;2021;166;2440.0
218;2021;225;
219;2021;315;10518.0
221;2021;164;27817.0
223;2021;263;2196.0
224;2021;5;12672.0
226;2021;381;45366.0
228;2021;74;41106.0
229;2021;140;149.0
230;2021;154;7522.0
232;2021;413;829.0
233;2021;391;1124.0
239;2021;7;2916.0
240;2021;222;11165.0
242;2021;50;2811.0
243;2021;465;
244;2021;397;
246;2021;213;43427.0
248;2021;177;51630.0
249;2021;230;2029.0
250;2021;220;29715.0
252;2021;232;33825.0
253;2021;297;2967.0
254;2021;50;1723.0
257;2021;313;47314.0
259;2021;46;4595.0
262;2021;333;14075.0
263;2021;156;166.0
265;2021;122;
266;2021;40;206.0
268;2021;108;22774.0
270;2021;126;14064.0
271;2021;36;2491.0
274;2021;55;19374.0
276;2021;213;5191.0
277;2021;175;2024.0
278;2021;146;13954.0
280;2021;295;
281;2021;425;8711.0
282;2021;116;2902.0
285;2021;132;2448.0
288;2021;187;1385.0
292;2021;68;27236.0
294;2021;461;20875.0
295;2021;158;
296;2021;138;12883.0
297;2021;432;
298;2021;122;771.0
299;2021;30;64542.0
300;2021;51;3505.0
301;2021;391;10646.0
302;2021;405;
303;2021;150;15813.0
305;2021;42;170.0
307;2021;120;515.0
309;2021;215;47375.0
311;2021;279;10385.0
312;2021;215;1540.0
313;2021;426;15111.0
315;2021;481;30673.0
319;2021;397;294.0
320;2021;53;2976.0
323;2021;218;243.0
324;2021;341;2505.0
325;2021;226;13504.0
326;2021;218;25393.0
329;2021;250;1640.0
330;2021;231;17466.0
331;2021;363;13657.0
332;2021;7;1817.0
333;2021;240;43817.0
334;2021;438;7590.0
336;2021;50;605.0
338;2021;106;19718.0
340;2021;249;15353.0
343;2021;52;486.0
344;2021;74;3906.0
347;2021;216;1834.0
351;2021;450;34638.0
353;2021;175;12234.0
355;2021;479;8869.0
357;2021;90;4464.0
358;2021;411;7891.0
362;2021;261;4901.0
364;2021;53;1070.0
365;2021;259;19976.0
367;2021;393;9958.0
370;2021;227;1907.0
372;2021;379;836.0
376;2021;275;6675.0
377;2021;487;
378;2021;333;226.0
379;2021;465;34812.0
385;2021;275;2700.0
386;2021;353;52359.0
388;2021;238;54535.0
389;2021;229;2954.0
390;2021;197;4179.0
391;2021;197;10588.0
393;2021;132;10430.0
394;2021;301;3105.0
395;2021;438;3149.0
396;2021;421;63369.0
398;2021;395;9011.0
401;2021;275;2101.0
402;2021;50;10811.0
405;2021;454;11330.0
406;2021;102;12671.0
407;2021;419;36870.0
408;2021;471;30499.0
410;2021;248;41230.0
414;2021;285;11050.0
420;2021;418;7275.0
425;2021;293;38429.0
426;2021;327;167.0
431;2021;136;10669.0
432;2021;40;3477.0
434;2021;39;57504.0
436;2021;461;
437;2021;475;3958.0
438;2021;88;8066.0
440;2021;491;
441;2021;483;2435.0
450;2021;239;194.0
451;2021;325;3605.0
453;2021;44;50297.0
454;2021;411;39236.0
455;2021;205;2481.0
456;2021;319;
459;2021;55;3722.0
460;2021;78;2054.0
461;2021;341;5234.0
462;2021;205;2029.0
463;2021;271;8771.0
464;2021;261;3608.0
465;2021;175;33443.0
466;2021;71;2371.0
468;2021;313;489.0
473;2021;112;2647.0
474;2021;237;38784.0
475;2021;417;23832.0
476;2021;88;5041.0
478;2021;385;16810.0
479;2021;65;14692.0
482;2021;164;4911.0
484;2021;442;
485;2021;357;33513.0
486;2021;11;1719.0
488;2021;34;19892.0
489;2021;64;20293.0
490;2021;285;
491;2021;212;14424.0
494;2021;383;12933.0
495;2021;215;15786.0
496;2021;283;1391.0
497;2021;203;10880.0
499;2021;399;2887.0
501;2021;430;32702.0
