PersonID;Year;PartyListID;Listenplatz
225;2021;296.0;5
227;2021;234.0;7
231;2021;47.0;9
234;2021;203.0;8
235;2021;203.0;26
236;2021;113.0;3
237;2021;339.0;2
238;2021;304.0;14
241;2021;3.0;50
245;2021;132.0;2
247;2021;199.0;24
251;2021;208.0;3
255;2021;85.0;19
256;2021;319.0;5
258;2021;157.0;5
260;2021;68.0;17
261;2021;119.0;29
264;2021;284.0;1
267;2021;4.0;59
269;2021;175.0;4
272;2021;223.0;12
273;2021;53.0;9
275;2021;21.0;36
279;2021;200.0;5
283;2021;232.0;13
284;2021;5.0;60
286;2021;4.0;14
287;2021;269.0;3
289;2021;3.0;25
290;2021;18.0;50
291;2021;158.0;11
293;2021;10.0;22
304;2021;271.0;8
306;2021;155.0;6
308;2021;211.0;14
310;2021;6.0;53
314;2021;82.0;29
316;2021;233.0;12
317;2021;13.0;39
318;2021;102.0;60
321;2021;256.0;13
322;2021;102.0;65
327;2021;5.0;50
328;2021;36.0;23
335;2021;130.0;15
337;2021;307.0;2
339;2021;14.0;29
341;2021;171.0;7
342;2021;242.0;1
345;2021;313.0;9
346;2021;222.0;4
348;2021;201.0;8
349;2021;35.0;22
350;2021;199.0;19
352;2021;308.0;6
354;2021;224.0;5
356;2021;264.0;4
359;2021;251.0;2
360;2021;9.0;61
361;2021;127.0;19
363;2021;174.0;7
366;2021;188.0;2
368;2021;296.0;4
369;2021;127.0;3
371;2021;127.0;35
373;2021;9.0;42
374;2021;95.0;20
375;2021;5.0;44
380;2021;78.0;14
381;2021;171.0;3
382;2021;134.0;9
383;2021;199.0;18
384;2021;85.0;9
387;2021;228.0;3
392;2021;216.0;12
397;2021;38.0;9
399;2021;304.0;7
400;2021;238.0;12
403;2021;185.0;11
404;2021;309.0;4
409;2021;38.0;8
411;2021;240.0;4
412;2021;226.0;3
413;2021;81.0;5
415;2021;310.0;1
416;2021;84.0;11
417;2021;13.0;44
418;2021;230.0;7
419;2021;281.0;3
421;2021;279.0;6
422;2021;299.0;3
423;2021;164.0;5
424;2021;102.0;35
427;2021;207.0;2
428;2021;308.0;9
429;2021;70.0;27
430;2021;3.0;54
433;2021;82.0;3
435;2021;107.0;16
439;2021;107.0;7
442;2021;113.0;23
443;2021;85.0;25
444;2021;150.0;5
445;2021;85.0;11
446;2021;14.0;39
447;2021;98.0;22
448;2021;160.0;3
449;2021;1.0;70
452;2021;44.0;6
457;2021;279.0;4
458;2021;258.0;4
467;2021;285.0;1
469;2021;76.0;11
470;2021;168.0;3
471;2021;9.0;39
472;2021;328.0;1
477;2021;3.0;41
480;2021;116.0;4
481;2021;3.0;51
483;2021;43.0;13
487;2021;296.0;3
492;2021;234.0;3
493;2021;271.0;6
498;2021;308.0;1
500;2021;180.0;12
502;2021;28.0;19
505;2021;326.0;2
507;2021;238.0;6
508;2021;30.0;17
511;2021;118.0;15
513;2021;6.0;68
514;2021;154.0;9
519;2021;291.0;7
520;2021;343.0;4
521;2021;11.0;47
523;2021;147.0;17
528;2021;243.0;11
532;2021;104.0;7
534;2021;120.0;13
535;2021;139.0;16
537;2021;256.0;6
538;2021;21.0;27
544;2021;9.0;32
545;2021;169.0;3
548;2021;308.0;13
549;2021;111.0;4
552;2021;6.0;47
553;2021;144.0;17
554;2021;149.0;11
555;2021;232.0;19
556;2021;258.0;15
563;2021;55.0;3
564;2021;182.0;5
566;2021;124.0;31
568;2021;3.0;65
570;2021;5.0;40
571;2021;125.0;11
572;2021;321.0;1
574;2021;314.0;10
576;2021;199.0;10
577;2021;219.0;3
578;2021;2.0;70
579;2021;22.0;12
580;2021;127.0;28
581;2021;349.0;5
586;2021;330.0;1
589;2021;98.0;18
592;2021;256.0;14
595;2021;98.0;27
605;2021;130.0;10
606;2021;90.0;10
610;2021;197.0;2
612;2021;186.0;4
613;2021;159.0;14
616;2021;21.0;38
617;2021;3.0;30
618;2021;331.0;5
621;2021;5.0;39
622;2021;238.0;4
624;2021;256.0;7
625;2021;21.0;16
628;2021;15.0;34
629;2021;199.0;21
631;2021;298.0;9
633;2021;160.0;2
634;2021;161.0;11
636;2021;156.0;3
638;2021;122.0;15
640;2021;143.0;3
642;2021;4.0;45
643;2021;124.0;12
644;2021;301.0;2
648;2021;216.0;5
650;2021;268.0;11
656;2021;21.0;31
658;2021;114.0;11
659;2021;5.0;56
660;2021;110.0;8
661;2021;301.0;4
662;2021;2.0;75
664;2021;68.0;10
665;2021;314.0;9
667;2021;222.0;5
668;2021;217.0;4
671;2021;48.0;12
675;2021;3.0;89
677;2021;341.0;6
679;2021;127.0;44
684;2021;25.0;12
685;2021;201.0;20
687;2021;70.0;29
692;2021;133.0;16
695;2021;71.0;53
696;2021;131.0;7
697;2021;159.0;2
698;2021;3.0;82
699;2021;85.0;15
700;2021;268.0;8
703;2021;55.0;21
708;2021;114.0;8
711;2021;203.0;9
714;2021;144.0;13
723;2021;43.0;11
724;2021;125.0;13
725;2021;231.0;23
727;2021;243.0;20
728;2021;114.0;5
729;2021;291.0;18
730;2021;13.0;31
732;2021;197.0;6
734;2021;78.0;28
735;2021;127.0;10
736;2021;131.0;4
738;2021;119.0;7
739;2021;117.0;8
740;2021;98.0;26
741;2021;9.0;44
742;2021;248.0;3
743;2021;216.0;14
744;2021;304.0;2
745;2021;71.0;21
746;2021;161.0;15
749;2021;71.0;69
750;2021;278.0;3
752;2021;320.0;3
755;2021;98.0;31
761;2021;162.0;3
762;2021;211.0;11
763;2021;124.0;29
766;2021;308.0;5
768;2021;265.0;3
769;2021;199.0;5
770;2021;264.0;23
772;2021;316.0;3
773;2021;18.0;34
774;2021;71.0;24
777;2021;276.0;4
779;2021;118.0;13
780;2021;145.0;13
782;2021;38.0;7
783;2021;25.0;14
786;2021;266.0;5
791;2021;111.0;5
794;2021;127.0;45
797;2021;124.0;2
798;2021;239.0;6
799;2021;190.0;5
804;2021;210.0;5
806;2021;291.0;20
807;2021;25.0;18
808;2021;30.0;28
814;2021;215.0;5
815;2021;5.0;65
819;2021;231.0;13
820;2021;218.0;1
825;2021;102.0;63
826;2021;255.0;3
828;2021;204.0;2
830;2021;86.0;9
832;2021;65.0;2
833;2021;321.0;3
835;2021;98.0;14
837;2021;270.0;9
841;2021;243.0;17
845;2021;127.0;43
851;2021;268.0;3
854;2021;57.0;7
856;2021;2.0;55
857;2021;84.0;13
858;2021;126.0;8
859;2021;133.0;12
861;2021;26.0;20
862;2021;306.0;2
863;2021;231.0;3
864;2021;98.0;2
866;2021;121.0;14
867;2021;160.0;4
868;2021;102.0;12
870;2021;69.0;5
875;2021;51.0;7
877;2021;143.0;2
878;2021;117.0;9
879;2021;3.0;66
880;2021;258.0;2
881;2021;33.0;17
882;2021;171.0;4
883;2021;170.0;9
887;2021;68.0;12
892;2021;296.0;1
894;2021;58.0;16
895;2021;79.0;7
896;2021;6.0;57
897;2021;56.0;7
898;2021;71.0;22
899;2021;248.0;2
901;2021;107.0;12
904;2021;18.0;35
905;2021;182.0;11
907;2021;216.0;10
908;2021;71.0;95
910;2021;124.0;13
911;2021;4.0;17
912;2021;99.0;5
916;2021;11.0;53
918;2021;223.0;6
920;2021;113.0;25
921;2021;209.0;8
924;2021;257.0;10
925;2021;3.0;38
930;2021;104.0;4
931;2021;266.0;6
933;2021;229.0;2
934;2021;127.0;39
