Year;StateID;PartyID;NewVoteCount;ShortName;LongName
2021;6;21;753512.0;CDU;Christlich Demokratische Union Deutschlands
2021;6;27;21897.0;Die Gerechtigkeitspartei - Team Todenhöfer;Die Gerechtigkeitspartei - Team Todenhöfer
2021;6;29;142585.0;Die Linke;Die Linke
2021;6;30;29569.0;Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative
2021;6;31;43106.0;dieBasis;Basisdemokratische Partei Deutschland
2021;6;33;1294.0;DKP;Deutsche Kommunistische Partei
2021;6;235;421621.0;FDP;Freie Demokratische Partei
2021;6;236;56155.0;FREIE WÄHLER;FREIE WÄHLER
2021;6;245;521411.0;GRÜNE;BÜNDNIS 90/DIE GRÜNEN
2021;6;257;932.0;LKR;Liberal-Konservative Reformer
2021;6;261;906.0;MLPD;Marxistisch-Leninistische Partei Deutschlands
2021;6;262;4511.0;NPD;Nationaldemokratische Partei Deutschlands
2021;6;267;3551.0;PdH;Partei der Humanisten - Fakten, Freiheit, Fortschritt
2021;6;268;13152.0;PIRATEN;Piratenpartei Deutschland
2021;6;273;910035.0;SPD;Sozialdemokratische Partei Deutschlands
2021;6;281;49047.0;Tierschutzpartei;PARTEI MENSCH UMWELT TIERSCHUTZ
2021;6;287;3128.0;V-Partei³;V-Partei³ - Partei für Veränderung, Vegetarier und Veganer
2021;6;290;4891.0;Verjüngungsforschung;Partei für Verjüngungsforschung
2021;6;295;19268.0;Volt;Volt Deutschland
2021;6;300;3683.0;ÖDP;Ökologisch-Demokratische Partei
2021;7;4;50537.0;AfD;Alternative für Deutschland
2021;7;17;386.0;BÜNDNIS21;diePinken/BÜNDNIS21
2021;7;21;155220.0;CDU;Christlich Demokratische Union Deutschlands
2021;7;27;8952.0;Die Gerechtigkeitspartei - Team Todenhöfer;Die Gerechtigkeitspartei - Team Todenhöfer
2021;7;29;67578.0;Die Linke;Die Linke
2021;7;30;10147.0;Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative
2021;7;31;13961.0;dieBasis;Basisdemokratische Partei Deutschland
2021;7;33;532.0;DKP;Deutsche Kommunistische Partei
2021;7;34;1341.0;du.;Die Urbane. Eine HipHop Partei
2021;7;235;114602.0;FDP;Freie Demokratische Partei
2021;7;236;5601.0;FREIE WÄHLER;FREIE WÄHLER
2021;7;245;250532.0;GRÜNE;BÜNDNIS 90/DIE GRÜNEN
2021;7;257;248.0;LKR;Liberal-Konservative Reformer
2021;7;261;348.0;MLPD;Marxistisch-Leninistische Partei Deutschlands
2021;7;262;648.0;NPD;Nationaldemokratische Partei Deutschlands
2021;7;267;1203.0;PdH;Partei der Humanisten - Fakten, Freiheit, Fortschritt
2021;7;268;4377.0;PIRATEN;Piratenpartei Deutschland
2021;7;273;298342.0;SPD;Sozialdemokratische Partei Deutschlands
2021;7;281;12325.0;Tierschutzpartei;PARTEI MENSCH UMWELT TIERSCHUTZ
2021;7;287;1219.0;V-Partei³;V-Partei³ - Partei für Veränderung, Vegetarier und Veganer
2021;7;295;5429.0;Volt;Volt Deutschland
2021;7;300;2016.0;ÖDP;Ökologisch-Demokratische Partei
2021;8;4;165342.0;AfD;Alternative für Deutschland
2021;8;21;160103.0;CDU;Christlich Demokratische Union Deutschlands
2021;8;27;2146.0;Die Gerechtigkeitspartei - Team Todenhöfer;Die Gerechtigkeitspartei - Team Todenhöfer
2021;8;29;101735.0;Die Linke;Die Linke
2021;8;30;7900.0;Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative
2021;8;31;16336.0;dieBasis;Basisdemokratische Partei Deutschland
2021;8;33;754.0;DKP;Deutsche Kommunistische Partei
2021;8;235;75555.0;FDP;Freie Demokratische Partei
2021;8;236;13344.0;FREIE WÄHLER;FREIE WÄHLER
2021;8;245;71956.0;GRÜNE;BÜNDNIS 90/DIE GRÜNEN
2021;8;261;709.0;MLPD;Marxistisch-Leninistische Partei Deutschlands
2021;8;262;6400.0;NPD;Nationaldemokratische Partei Deutschlands
2021;8;267;1277.0;PdH;Partei der Humanisten - Fakten, Freiheit, Fortschritt
2021;8;268;4259.0;PIRATEN;Piratenpartei Deutschland
2021;8;273;267368.0;SPD;Sozialdemokratische Partei Deutschlands
2021;8;281;20582.0;Tierschutzpartei;PARTEI MENSCH UMWELT TIERSCHUTZ
2021;8;295;1904.0;Volt;Volt Deutschland
2021;8;300;1189.0;ÖDP;Ökologisch-Demokratische Partei
2021;9;4;336434.0;AfD;Alternative für Deutschland
2021;9;21;1093579.0;CDU;Christlich Demokratische Union Deutschlands
